youre=10

gonna=9

=8

saves=8

maybe=6

one=6

dont=5

now=5

said=5

way=4

there=4

about=3

feels=3

anybody=3

believe=3

wonderwall=3

after=3

would=2

things=2

verse=2

