=6

up=6

remember=6

yeah=5

its=5

was=5

when=4

like=4

oh=4

off=4

face=4

cuddles=3

cant=3

got=3

argumentative=3

things=3

day=3

then=3

ground=3

away=3

