loving=18

when=14

im=9

youre=9

got=6

its=6

soul=6

weve=6

=5

flawless=5

bleeds=5

goin=5

thats=5

so=5

stone=5

lets=4

things=4

love=4

prowess=4

baby=4

