=265

htfrfn=43

mardy=29

up=26

im=25

say=22

not=21

thats=20

am=19

people=19

song=18

0=17

solid=16

media=16

var=16

got=15

screen=15

was=15

face=15

arctic=14

